session_id,timestamp,distance_traveled,coins_collected,jump_count,score,completion_time,death_cause
20250511210640,2025-05-11 21:07:04,2212.059999999991,6,9,60,13.162582159042358,falling
20250511210640,2025-05-11 21:06:47,964.7999999999984,4,4,40,0,
20250511211242,2025-05-11 21:12:53,1071,5,6,50,6.896356821060181,falling
20250511211242,2025-05-11 21:12:42,0,0,0,0,0,
20250511211511,2025-05-11 21:15:21,900.3599999999997,4,5,40,5.961644411087036,falling
20250511211511,2025-05-11 21:15:11,0,0,0,0,0,
20250511211633,2025-05-11 21:16:48,1470,5,8,50,9.118282794952393,falling
20250511211633,2025-05-11 21:16:41,1302,5,8,50,0,
20250511211658,2025-05-11 21:17:49,5897.2100000002965,9,25,90,33.52220368385315,obstacle
20250511211658,2025-05-11 21:17:06,1221,5,7,50,0,
20250511211658,2025-05-11 21:17:16,3027,8,14,80,0,
20250511211658,2025-05-11 21:17:26,4846.250000000145,9,21,90,0,
20250511211843,2025-05-11 21:18:57,936,2,5,20,6.158090591430664,obstacle
20250511211907,2025-05-11 21:19:20,2034,3,0,30,0,
20250511211907,2025-05-11 21:19:15,1254,1,0,10,0,
20250511211934,2025-05-11 21:19:56,1140,4,6,40,7.3011720180511475,obstacle
20250511211934,2025-05-11 21:19:42,1134,4,5,40,0,
20250511212006,2025-05-11 21:20:37,4644.900000000069,6,21,60,26.576863527297974,obstacle
20250511212006,2025-05-11 21:20:13,1103.3999999999955,3,5,30,0,
20250511212006,2025-05-11 21:20:23,2914.770000000037,4,14,40,0,
20250511213817,2025-05-11 21:38:38,2328.0500000000184,32,9,524,13.909753561019897,falling
20250511213817,2025-05-11 21:38:17,0,0,0,0,0,
20250511213817,2025-05-11 21:38:27,1620.6999999999994,20,7,333,0,
20250511213847,2025-05-11 21:38:54,881.4199999999978,16,5,295,5.847498655319214,obstacle
20250511213847,2025-05-11 21:38:47,0,0,0,0,0,
20250511213921,2025-05-11 21:39:33,1386,19,6,379,8.665926456451416,falling
20250511213921,2025-05-11 21:39:21,0,0,0,0,0,
20250511214100,2025-05-11 21:41:13,909,16,6,295,6.0237250328063965,obstacle
20250511214100,2025-05-11 21:41:00,0,0,0,0,0,
20250511214151,2025-05-11 21:42:00,882,13,5,220,5.848517417907715,obstacle
20250511214151,2025-05-11 21:41:51,0,0,0,0,0,
20250511214317,2025-05-11 21:43:37,987,13,7,220,6.462380409240723,obstacle
20250511214317,2025-05-11 21:43:17,0,0,0,0,0,
20250511214343,2025-05-11 21:43:53,1230,22,6,469,7.823957681655884,obstacle
20250511214355,2025-05-11 21:44:09,1594.6699999999985,22,6,414,9.84873342514038,obstacle
20250511214355,2025-05-11 21:43:55,0,0,0,0,0,
20250511214512,2025-05-11 21:45:38,2026.349999999996,23,10,384,12.228962898254395,falling
20250511214512,2025-05-11 21:45:12,0,0,0,0,0,
20250511214512,2025-05-11 21:45:22,1623.0099999999973,17,9,291,0,
20250511214955,2025-05-11 21:50:38,7166.539999999976,50,21,777,40.327048778533936,obstacle
20250511214955,2025-05-11 21:50:03,1221.6099999999967,10,3,154,0,
20250511214955,2025-05-11 21:50:13,3039.650000000066,10,10,154,0,
20250511214955,2025-05-11 21:50:23,4863.74000000017,30,15,471,0,
20250511214955,2025-05-11 21:50:33,6693.860000000016,47,19,728,0,
20250511215103,2025-05-11 21:51:28,3777.99000000011,27,13,445,21.79750347137451,obstacle
20250511215103,2025-05-11 21:51:11,1255.189999999999,15,5,269,0,
20250511215103,2025-05-11 21:51:21,3072.000000000063,25,9,423,0,
20250511215805,2025-05-11 21:58:33,4264.59000000016,40,20,784,24.592638731002808,obstacle
20250511215805,2025-05-11 21:58:05,0,0,0,0,0,
20250511215805,2025-05-11 21:58:15,1620,16,6,255,0,
20250511215805,2025-05-11 21:58:25,3430.8200000001,22,16,335,0,
20250511220558,2025-05-11 22:06:20,3231,41,14,763,18.857021808624268,obstacle
20250511220558,2025-05-11 22:06:06,1230,22,7,469,0,
20250511220558,2025-05-11 22:06:16,3039,40,13,746,0,
